1.75E+00,1.66E+00,1.64E+00
1.82E+00,1.81E+00,1.67E+00
1.68E+00,1.72E+00,2.62E-01
1.74E+00,1.78E+00,1.55E+00
1.63E+00,1.88E+00,1.53E+00
1.54E+00,1.70E+00,1.63E+00
1.87E+00,1.84E+00,1.77E-01
1.75E+00,1.87E+00,1.55E+00
1.89E+00,1.84E+00,1.35E+00
1.86E+00,1.71E+00,1.51E+00
1.91E+00,1.66E+00,2.77E-01
1.81E+00,1.78E+00,1.59E+00
1.82E+00,1.78E+00,1.50E+00
1.83E+00,1.81E+00,1.49E+00
1.66E+00,1.63E+00,6.74E-01
1.54E+00,1.79E+00,1.74E+00
1.53E+00,1.77E+00,1.53E+00
1.71E+00,1.81E+00,1.58E+00
1.60E+00,1.66E+00,4.28E-01
1.60E+00,1.72E+00,1.75E+00
1.63E+00,1.80E+00,1.56E+00
1.74E+00,1.64E+00,1.57E+00
1.59E+00,1.83E+00,1.40E-01
1.66E+00,1.89E+00,1.65E+00
1.45E+00,1.65E+00,1.72E+00
1.60E+00,1.82E+00,1.60E+00
1.64E+00,1.75E+00,4.37E-01
1.70E+00,1.87E+00,1.75E+00
1.64E+00,1.68E+00,1.75E+00
1.79E+00,1.86E+00,1.60E+00
1.52E+00,1.67E+00,7.08E-01
1.66E+00,1.83E+00,1.60E+00
1.67E+00,1.78E+00,1.57E+00
1.68E+00,1.59E+00,1.73E+00
1.77E+00,1.62E+00,1.66E+00
1.69E+00,1.89E+00,1.75E+00
1.78E+00,1.84E+00,1.49E+00
1.81E+00,1.59E+00,1.72E+00
1.71E+00,1.68E+00,1.60E+00
1.85E+00,1.75E+00,1.72E+00
1.86E+00,1.76E+00,1.58E+00
1.73E+00,1.74E+00,1.86E+00
1.67E+00,1.49E+00,1.67E+00
1.62E+00,1.97E+00,1.63E+00
1.67E+00,1.52E+00,1.70E+00
1.68E+00,1.77E+00,1.76E+00
1.80E+00,1.57E+00,1.66E+00
1.72E+00,2.00E+00,1.70E+00
1.79E+00,1.55E+00,1.52E+00
1.72E+00,1.72E+00,1.80E+00
1.88E+00,1.74E+00,1.71E+00
1.87E+00,1.73E+00,1.84E+00
1.86E+00,1.65E+00,1.63E+00
1.86E+00,1.71E+00,1.54E+00
1.53E+00,1.80E+00,1.55E+00
1.76E+00,1.72E+00,1.74E+00
1.56E+00,1.85E+00,1.94E+00
1.76E+00,1.82E+00,1.52E+00
1.71E+00,1.72E+00,1.85E+00
1.72E+00,1.74E+00,1.80E+00
1.81E+00,1.80E+00,1.92E+00
1.87E+00,1.76E+00,1.61E+00
1.73E+00,1.81E+00,1.66E+00
1.64E+00,1.67E+00,1.57E+00
1.84E+00,1.81E+00,1.81E+00
1.26E-01,1.76E+00,1.26E+00
1.84E+00,1.73E+00,1.61E+00
1.73E+00,1.56E+00,1.92E+00
1.83E+00,1.69E+00,1.54E+00
2.82E-01,1.62E+00,1.28E+00
1.82E+00,1.59E+00,1.54E+00
1.46E+00,1.84E+00,1.74E+00
1.60E+00,1.88E+00,1.47E+00
5.72E-01,1.79E+00,1.86E+00
1.70E+00,1.85E+00,1.27E+00
2.12E+00,1.76E+00,1.74E+00
1.85E+00,1.76E+00,1.65E+00
3.05E-01,1.84E+00,1.37E+00
1.83E+00,1.90E+00,1.51E+00
1.98E+00,1.75E+00,1.74E+00
1.82E+00,1.90E+00,1.75E+00
6.10E-01,1.85E+00,1.70E+00
1.85E+00,1.64E+00,1.82E+00
1.53E+00,1.77E+00,1.57E+00
1.62E+00,1.89E+00,1.91E+00
1.55E+00,1.85E+00,1.52E+00
1.51E+00,1.77E+00,1.81E+00
1.28E+00,1.79E+00,1.50E+00
1.88E+00,1.78E+00,1.89E+00
1.57E+00,1.71E+00,1.59E+00
1.48E+00,1.61E+00,1.67E+00
1.76E+00,1.74E+00,1.56E+00
1.71E+00,1.87E+00,1.74E+00
1.57E+00,1.80E+00,1.50E+00
1.65E+00,1.74E+00,1.66E+00
1.72E+00,1.63E+00,1.78E+00
1.88E+00,1.79E+00,1.91E+00
1.74E+00,1.78E+00,1.81E+00
1.62E+00,1.79E+00,1.64E+00
1.58E+00,1.56E+00,1.56E+00
1.72E+00,1.88E+00,1.82E+00
1.63E+00,1.75E+00,1.68E+00
1.70E+00,1.74E+00,1.73E+00
1.60E+00,1.51E+00,1.71E+00
1.55E+00,1.86E+00,1.76E+00
2.01E+00,1.76E+00,1.57E+00
1.44E+00,1.75E+00,1.59E+00
1.48E+00,1.55E+00,1.72E+00
1.76E+00,1.76E+00,1.81E+00
2.04E+00,1.71E+00,1.54E+00
1.47E+00,1.80E+00,1.54E+00
1.58E+00,1.58E+00,1.61E+00
1.78E+00,1.82E+00,1.76E+00
1.99E+00,1.74E+00,1.55E+00
1.60E+00,1.55E+00,1.65E+00
1.63E+00,1.42E+00,1.71E+00
1.84E+00,1.78E+00,1.86E+00
2.57E+00,1.75E+00,1.46E+00
1.46E+00,1.85E+00,1.64E+00
1.90E+00,1.55E+00,1.73E+00
1.70E+00,1.93E+00,1.86E+00
2.56E+00,1.89E+00,1.58E+00
1.59E+00,1.49E+00,1.81E+00
1.63E+00,1.66E+00,1.64E+00
1.90E+00,1.89E+00,1.65E+00
1.65E+00,1.92E+00,1.39E+00
1.75E+00,1.58E+00,1.74E+00
1.62E+00,1.85E+00,1.61E+00
1.90E+00,1.80E+00,1.77E+00
1.81E+00,1.77E+00,1.21E+00
1.60E+00,1.60E+00,1.47E+00
1.53E+00,1.72E+00,1.22E+00
1.67E+00,1.87E+00,1.61E+00
1.60E+00,1.88E+00,1.64E+00
1.71E+00,1.71E+00,1.59E+00
1.77E+00,1.40E+00,1.41E+00
1.78E+00,1.73E+00,1.84E+00
1.53E+00,1.88E+00,1.33E+00
1.83E+00,1.49E+00,1.53E+00
1.82E+00,1.56E+00,1.29E+00
1.82E+00,1.80E+00,1.84E+00
1.79E+00,1.81E+00,1.28E+00
1.76E+00,1.53E+00,1.69E+00
1.76E+00,1.55E+00,1.70E+00
1.69E+00,1.77E+00,1.74E+00
1.84E+00,1.85E+00,1.64E+00
1.59E+00,1.55E+00,1.69E+00
1.71E+00,1.58E+00,1.74E+00
1.91E+00,1.77E+00,1.79E+00
1.78E+00,1.77E+00,1.66E+00
1.53E+00,1.63E+00,1.71E+00
1.67E+00,1.60E+00,1.55E+00
1.68E+00,1.90E+00,1.74E+00
1.66E+00,1.88E+00,1.65E+00
1.48E+00,1.71E+00,1.72E+00
1.51E+00,1.66E+00,1.76E+00
1.74E+00,1.79E+00,1.83E+00
1.75E+00,1.91E+00,1.55E+00
1.60E+00,1.65E+00,1.58E+00
1.50E+00,1.69E+00,1.71E+00
1.83E+00,1.78E+00,1.84E+00
1.91E+00,1.80E+00,1.81E+00
1.66E+00,1.75E+00,1.41E+00
1.37E+00,1.57E+00,1.86E+00
1.72E+00,1.82E+00,1.91E+00
1.89E+00,1.77E+00,1.60E+00
1.58E+00,1.58E+00,1.54E+00
1.35E+00,1.63E+00,1.79E+00
1.83E+00,1.69E+00,1.82E+00
1.84E+00,1.78E+00,1.45E+00
1.31E+00,1.76E+00,1.55E+00
1.67E+00,1.77E+00,1.83E+00
1.73E+00,1.80E+00,1.80E+00
1.71E+00,1.69E+00,1.46E+00
1.40E+00,1.64E+00,1.51E+00
1.60E+00,1.63E+00,1.89E+00
1.80E+00,1.89E+00,1.82E+00
1.83E+00,1.92E+00,1.59E+00
1.60E+00,1.86E+00,1.25E+00
1.37E+00,1.75E+00,1.73E+00
1.78E+00,1.79E+00,1.91E+00
1.85E+00,1.91E+00,1.68E+00
1.50E+00,1.65E+00,1.79E+00
1.66E+00,1.83E+00,1.72E+00
1.79E+00,1.84E+00,1.85E+00
1.78E+00,1.83E+00,1.61E+00
1.55E+00,1.66E+00,1.83E+00
1.61E+00,1.69E+00,1.67E+00
1.70E+00,1.58E+00,1.84E+00
1.88E+00,1.70E+00,1.74E+00
1.72E+00,1.66E+00,1.81E+00
1.39E+00,1.79E+00,1.68E+00
1.46E+00,1.92E+00,1.73E+00
1.61E+00,1.79E+00,1.50E+00
1.68E+00,1.55E+00,1.82E+00
1.87E+00,1.65E+00,1.82E+00
1.36E+00,1.82E+00,1.74E+00
1.75E+00,1.78E+00,1.78E+00
1.56E+00,1.57E+00,1.74E+00
1.79E+00,1.81E+00,1.73E+00
1.68E+00,1.88E+00,1.78E+00
1.74E+00,1.85E+00,1.73E+00
1.51E+00,1.77E+00,1.62E+00
1.94E+00,1.73E+00,3.86E-01
1.73E+00,1.65E+00,1.92E+00
1.62E+00,1.86E+00,1.74E+00
1.91E+00,1.78E+00,1.64E+00
1.86E+00,1.83E+00,6.70E-01
1.59E+00,1.64E+00,1.84E+00
1.57E+00,1.71E+00,1.68E+00
1.94E+00,1.82E+00,1.64E+00
1.61E+00,1.81E+00,4.13E-01
1.59E+00,1.86E+00,1.59E+00
1.75E+00,1.80E+00,1.81E+00
1.60E+00,1.79E+00,1.75E+00
1.87E+00,1.78E+00,2.21E-01
1.69E+00,1.80E+00,1.87E+00
1.32E+00,1.83E+00,1.77E+00
1.83E+00,1.81E+00,1.70E+00
1.75E+00,1.36E+00,2.47E-01
1.63E+00,1.56E+00,1.76E+00
1.82E+00,1.55E+00,1.88E+00
1.81E+00,1.43E+00,1.71E+00
1.68E+00,1.34E+00,1.63E+00
1.84E+00,1.56E+00,1.74E+00
1.75E+00,1.58E+00,1.49E+00
1.61E+00,1.34E+00,1.83E+00
1.59E+00,1.28E+00,1.62E+00
1.83E+00,1.54E+00,1.74E+00
1.69E+00,1.51E+00,1.60E+00
1.34E+00,1.08E+00,1.58E+00
1.55E+00,1.61E+00,1.66E+00
1.66E+00,1.67E+00,1.68E+00
1.68E+00,1.83E+00,1.48E+00
1.62E+00,1.35E+00,1.60E+00
1.49E+00,1.77E+00,1.78E+00
1.89E+00,1.40E+00,1.87E+00
1.84E+00,1.86E+00,1.66E+00
1.44E+00,1.71E+00,1.47E+00
1.73E+00,1.89E+00,1.81E+00
1.92E+00,1.92E+00,1.80E+00
